# DefaultPool.vis.csv - VT object -> mask/scroll visibility table
# Generated: 2026-09-25T13:16:21+00:00 from DefaultPool.jop (source hash: 22169be1daa7)
# Format version: 1
# Columns: object_id,mask_id,scroll_container_id,row_top_px,row_height_px
# Scroll viewport columns: scroll_container_id,viewport_height_px
3000,1000,0,0,0
5000,1000,0,0,0
5000,1001,0,0,0
5000,1002,0,0,0
5000,1003,0,0,0
5000,1004,0,0,0
5001,1000,0,0,0
5001,1001,0,0,0
5001,1002,0,0,0
5001,1003,0,0,0
5001,1004,0,0,0
5002,1000,0,0,0
5002,1001,0,0,0
5002,1002,0,0,0
5002,1003,0,0,0
5002,1004,0,0,0
5003,1000,0,0,0
5003,1001,0,0,0
5003,1002,0,0,0
5003,1003,0,0,0
5003,1004,0,0,0
5004,1000,0,0,0
5004,1001,0,0,0
5004,1002,0,0,0
5004,1003,0,0,0
5004,1004,0,0,0
6001,1000,0,0,0
6002,1000,0,0,0
6003,1000,0,0,0
6004,1000,0,0,0
6005,1000,0,0,0
6006,1000,0,0,0
6007,1000,0,0,0
6008,1000,0,0,0
6009,1000,0,0,0
6010,1000,0,0,0
6011,1000,0,0,0
6012,1000,0,0,0
6013,1001,0,0,0
6014,1001,0,0,0
6015,1001,0,0,0
6016,1001,0,0,0
6017,1002,0,0,0
6018,1002,0,0,0
6019,1002,0,0,0
6020,1002,0,0,0
6021,1003,0,0,0
6022,1003,0,0,0
6023,1003,0,0,0
6024,1003,0,0,0
6025,1004,0,0,0
6026,1004,0,0,0
6027,1004,0,0,0
6028,1004,0,0,0
6029,1001,0,0,0
6030,1001,0,0,0
6031,1002,0,0,0
6032,1002,0,0,0
6033,1003,0,0,0
6034,1003,0,0,0
6035,1004,0,0,0
6036,1004,0,0,0
11000,0,0,0,0
11001,1000,0,0,0
11001,1001,0,0,0
11001,1002,0,0,0
11001,1003,0,0,0
11001,1004,0,0,0
11002,1000,0,0,0
11002,1001,0,0,0
11002,1002,0,0,0
11002,1003,0,0,0
11002,1004,0,0,0
11003,1000,0,0,0
11003,1001,0,0,0
11003,1002,0,0,0
11003,1003,0,0,0
11003,1004,0,0,0
11004,1000,0,0,0
11004,1001,0,0,0
11004,1002,0,0,0
11004,1003,0,0,0
11004,1004,0,0,0
11005,1000,0,0,0
11005,1001,0,0,0
11005,1002,0,0,0
11005,1003,0,0,0
11005,1004,0,0,0
11006,1001,0,0,0
11007,1001,0,0,0
11008,1002,0,0,0
11009,1002,0,0,0
11010,1003,0,0,0
11011,1003,0,0,0
11012,1004,0,0,0
11013,1004,0,0,0
11014,1001,0,0,0
11014,1002,0,0,0
11014,1003,0,0,0
11014,1004,0,0,0
11015,1001,0,0,0
11015,1002,0,0,0
11015,1003,0,0,0
11015,1004,0,0,0
11016,1001,0,0,0
11016,1002,0,0,0
11016,1003,0,0,0
11016,1004,0,0,0
12001,1000,0,0,0
12009,1000,0,0,0
12010,1000,0,0,0
12011,1000,0,0,0
12012,1000,0,0,0
12013,1000,0,0,0
12014,1000,0,0,0
12015,1000,0,0,0
12016,1000,0,0,0
12017,1000,0,0,0
12018,1000,0,0,0
12019,1000,0,0,0
12020,1000,0,0,0
18000,1001,0,0,0
18001,1001,0,0,0
18002,1002,0,0,0
18003,1002,0,0,0
18004,1003,0,0,0
18005,1003,0,0,0
18006,1004,0,0,0
18007,1004,0,0,0
20500,31000,0,0,0
21000,1001,0,0,0
21001,1001,0,0,0
21002,1002,0,0,0
21003,1002,0,0,0
21004,1003,0,0,0
21005,1003,0,0,0
21006,1004,0,0,0
21007,1004,0,0,0
21008,1001,0,0,0
21009,1001,0,0,0
21010,1002,0,0,0
21011,1002,0,0,0
21012,1003,0,0,0
21013,1003,0,0,0
21014,1004,0,0,0
21015,1004,0,0,0
21016,1001,0,0,0
21017,1001,0,0,0
21018,1001,0,0,0
21019,1001,0,0,0
21020,1002,0,0,0
21021,1002,0,0,0
21022,1002,0,0,0
21023,1002,0,0,0
21024,1003,0,0,0
21025,1003,0,0,0
21026,1003,0,0,0
21027,1003,0,0,0
21028,1004,0,0,0
21029,1004,0,0,0
21030,1004,0,0,0
21031,1004,0,0,0
21032,1001,0,0,0
21033,1001,0,0,0
21034,1002,0,0,0
21035,1002,0,0,0
21036,1003,0,0,0
21037,1003,0,0,0
21038,1004,0,0,0
21039,1004,0,0,0
21040,1001,0,0,0
21041,1001,0,0,0
21042,1001,0,0,0
21043,1001,0,0,0
21044,1001,0,0,0
21045,1001,0,0,0
21046,1002,0,0,0
21047,1002,0,0,0
21048,1002,0,0,0
21049,1002,0,0,0
21050,1002,0,0,0
21051,1002,0,0,0
21052,1003,0,0,0
21053,1003,0,0,0
21054,1003,0,0,0
21055,1003,0,0,0
21056,1003,0,0,0
21057,1003,0,0,0
21058,1004,0,0,0
21059,1004,0,0,0
21060,1004,0,0,0
21061,1004,0,0,0
21062,1004,0,0,0
21063,1004,0,0,0
23000,0,0,0,0
23000,1001,0,0,0
23000,1002,0,0,0
23000,1003,0,0,0
23000,1004,0,0,0
23001,1000,0,0,0
23002,1000,0,0,0
23002,1001,0,0,0
23002,1002,0,0,0
23002,1003,0,0,0
23002,1004,0,0,0
31000,31000,0,0,0
